"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","hr.radius"
"74","Setophaga_kirtlandii",2.2001,1900,33993.6,0.014,"Aves","Passeriformes","Invertivore","air","air","air","air",0.104021627304024
"75","Ursus_americanus",25.6776,140,22850000,100,"Mammalia","Carnivora","Omnivore","land","land","land","land",2.69692063274017
"76","Acrocephalus_scirpaceus",11.0001,6000,15700,0.011,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0706927521962861
"77","Alces_alces",118.0001,200,93825308.27,307.22744,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",5.46493579070997
"78","Antilocapra_americana",54.2101,260,10125348.97,46.0999,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",1.79527119907045
"79","Apodemus_sylvaticus",0.5001,0,13052.09,0.0212,"Mammalia","Rodentia","Herbivore","land","land","","land",0.064456258674861
"80","Capreolus_capreolus",2.1201,84,674636.76,24.05027,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.463404305429936
"81","Cervus_elaphus",20.0001,24.95,74865201.87,234.75778,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",4.88163229733316
"82","Cervus_nippon",1.6001,100,851490.88,29.45032,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.520613066585286
"83","Coracias_garrulus",0.6086,10000,1e+06,0.103,"Aves","Coraciiformes","Invertivore","air","air","air","air",0.564189583547756
"84","Dipodomys_merriami",0.0501,0,7374.8,0.04182,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0484507146348557
"85","Dipodomys_spectabilis",0.8601,0,3008.5,0.14458,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0309456829393687
"86","Dipodomys_stephensi",0.0371,0,1480.44,0.0762,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0217080327966845
"87","Fringilla_coelebs",22.6001,5000,42000,0.02325,"Aves","Passeriformes","Invertivore","air","air","air","air",0.115624457705622
"88","Gulo_gulo",55.0001,0,361917847.3,21.54567,"Mammalia","Carnivora","Carnivore","land","land","","land",10.7332208018817
"89","Helogale_parvula",0.5001,0,281838.29,0.28184,"Mammalia","Carnivora","Carnivore","land","land","","land",0.299519471841372
"90","Lanius_collurio",0.2801,11000,15782.72,0.03,"Aves","Passeriformes","Carnivore","air","air","air","air",0.0708787401614238
"91","Lepus_americanus",7.1771,0,32716.74,1.36079,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.102049310559673
"92","Lepus_californicus",45.0611,35,1592758.75,2.26798,"Mammalia","Lagomorpha","Herbivore","land","land","land","land",0.71203290403656
"93","Lepus_europaeus",2.0571,0,286615.72,5.25001,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.302047375773545
"94","Lepus_timidus",3.0001,10,453241.85,2.82501,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.379830701348944
"95","Lynx_canadensis",88.0001,0,82748475.24,10.20587,"Mammalia","Carnivora","Carnivore","land","land","","land",5.13221762355481
"96","Lynx_lynx",39.6001,0,181042275.7,29.99991,"Mammalia","Carnivora","Carnivore","land","land","","land",7.59128093094449
"97","Lynx_rufus",58.7101,0,39877690.65,11.33992,"Mammalia","Carnivora","Carnivore","land","land","","land",3.56278867912116
"98","Macropus_fuliginosus",85.0001,0,3236532.71,22.12483,"Mammalia","Diprotodontia","Herbivore","land","land","","land",1.01499771356896
"99","Marmota_flaviventris",0.9501,0,56963.94,3.40197,"Mammalia","Rodentia","Herbivore","land","land","","land",0.134655802912389
"100","Marmota_monax",0.7681,0,165390.29,3.40197,"Mammalia","Rodentia","Herbivore","land","land","","land",0.229445776569986
"101","Martes_americana",8.1371,0,7066103.59,0.88349,"Mammalia","Carnivora","Carnivore","land","land","","land",1.49973685341655
"102","Martes_pennanti",24.2301,0,16755600.61,3.17519,"Mammalia","Carnivora","Carnivore","land","land","","land",2.30943138523537
"103","Microtus_agrestis",0.0486,0,700.42,0.038,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0149315307480797
"104","Microtus_ochrogaster",0.0206,0,674.47,0.03544,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0146523195752202
"105","Microtus_pennsylvanicus",1.2001,0,411.74,0.04961,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0114481838095531
"106","Motacilla_flava",35.5001,8000,10117.13,0.0175,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567484140642416
"107","Muscicapa_striata",48.0001,13000,10000,0.0128,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0564189583547756
"108","Mustela_erminea",5.6001,0,1323244.2,0.27054,"Mammalia","Carnivora","Carnivore","land","land","","land",0.649000547530864
"109","Neotoma_cinerea",2.2001,0,47616.78,0.39548,"Mammalia","Rodentia","Herbivore","land","land","","land",0.12311332918185
"110","Ochotona_princeps",0.0901,0,1866.34,0.1465,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.024373642997719
"111","Odocoileus_hemionus",6.7501,160,35072764.57,53.86417,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",3.34125840042754
"112","Odocoileus_virginianus",11.6901,52,2488341.6,87.88404,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.889979624195066
"113","Oenanthe_oenanthe",95.6001,1400,15378.03,0.0252,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0699641263722411
"114","Onychomys_torridus",0.3291,0,25945.38,0.022,"Mammalia","Rodentia","Carnivore","land","land","","land",0.0908772301228157
"115","Oryctolagus_cuniculus",0.5351,0,62999.92,1.6,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.141610371670962
"116","Otospermophilus_beecheyi",1.8801,0,518.84,0.72575,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0128511439703864
"117","Ovis_canadensis",12.2801,40,27544823.89,90.71936,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",2.96104538252599
"118","Phoenicurus_phoenicurus",36.0001,6000,4500,0.01521,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0378469878303024
"119","Puma_concolor",88.3201,50,312003883.7,89.99948,"Mammalia","Carnivora","Carnivore","land","land","land","land",9.9656369946656
"120","Rangifer_tarandus",39.0001,1200,3550830977,102.05869,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",33.6194081468837
"121","Sciurus_carolinensis",100.0001,0,4900.04,0.625,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0394934320450378
"122","Sciurus_niger",0.6001,0,128265.54,0.95299,"Mammalia","Rodentia","Herbivore","land","land","","land",0.202059865977147
"123","Sciurus_vulgaris",0.7051,0,74908.31,0.3275,"Mammalia","Rodentia","Herbivore","land","land","","land",0.154415205308027
"124","Streptopelia_turtur",30.4001,6000,63585000,0.14033,"Aves","Columbiformes","Herbivore","air","air","air","air",4.49885920128607
"125","Sylvilagus_floridanus",3.9001,0,28920.11,1.36079,"Mammalia","Lagomorpha","Herbivore","land","land","","land",0.0959455935544864
"126","Tamiasciurus_hudsonicus",0.0901,0,4753.35,0.22396,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0388977929642765
"127","Taxidea_taxus",22.8201,0,3808816.06,8.61827,"Mammalia","Carnivora","Carnivore","land","land","","land",1.10108301528704
"128","Trichosurus_vulpecula",5.4001,0,50134.88,2.87501,"Mammalia","Diprotodontia","Herbivore","land","land","","land",0.126326671556873
"129","Upupa_epops",1.4101,5000,12560000,0.067,"Aves","Upupiformes","Invertivore","air","air","air","air_land",1.99949297834936
"130","Urocitellus_columbianus",1.9001,0,535.5,0.57834,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0130558394617665
"131","Vulpes_velox",19.2001,0,5495408.74,2.0893,"Mammalia","Carnivora","Carnivore","land","land","","land",1.32258947922733
"132","Prionace_glauca",7870.0001,3200,1.64e+12,70,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine",722.515199384357
"133","Physeter_catodon",4000.0001,5000,3.14e+12,45000,"Mammalia","Artiodactyla","Carnivore","water","marine","marine","marine",999.746489174682
"134","Corvus_corax",11.4801,0,9388707,1.134,"Aves","Passeriformes","Omnivore","air","air","","air",1.72873313631195
"135","Falcipennis_canadensis",1.7301,3.98,227000,0.456,"Aves","Galliformes","Herbivore","land","land","land","land",0.268805402035972
"136","Lagopus_leucura",29.0001,5.47,10300,0.516,"Aves","Galliformes","Herbivore","land","land","land","land",0.0572589890558072
"137","Falco_tinnunculus",158.8001,2125.3,3e+06,0.2,"Aves","Falconiformes","Carnivore","air","air","air","air",0.97720502380584
"138","Recurvirostra_americana",19.4001,1703.2,20700000,0.32,"Aves","Charadriiformes","Carnivore","","air","air","air_land",2.56690760332437
"139","Seiurus_aurocapilla",0.6181,3206.4,1,0.0189,"Aves","Passeriformes","Invertivore","air","air","air","air",0.000564189583547756
"140","Tyrannus_tyrannus",0.2021,7071.6,70.3921,0.046,"Aves","Passeriformes","Invertivore","air","air","air","air",0.00473355060596567
"141","Bucephala_albeola",4.5001,2110.2,5600,0.334,"Aves","Anseriformes","Carnivore","","air","air","land_aquatic_marine",0.0422200824564475
"142","Passerculus_sandwichensis",1.6001,2529.23,1400,0.02,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0211100412282238
"143","Zonotrichia_leucophrys",2.6001,2396.1,1200,0.028,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0195441004761168
"144","Empidonax_virescens",0.8401,3457.7,18300,0.013,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0763221522047391
"145","Colaptes_auratus",191.0001,1448.7,250000,0.132,"Aves","Piciformes","Invertivore","air","air","air","air",0.282094791773878
"146","Aix_sponsa",3.8001,469.4,3670000,0.658,"Aves","Anseriformes","Omnivore","","air","air","air_land_aquatic",1.0808317548511
"147","Melanerpes_erythrocephalus",0.5801,505,20100,0.072,"Aves","Piciformes","Invertivore","air","air","air","air",0.0799876785029681
"148","Dumetella_carolinensis",15.0001,2308.1,1260000,0.0359,"Aves","Passeriformes","Invertivore","air","air","air","air",0.633301236846713
"149","Hylocichla_mustelina",70.0001,2822.3,1770000,0.051,"Aves","Passeriformes","Invertivore","air","air","air","air",0.750605421340207
"150","Ammodramus_savannarum",0.3461,1343.9,10900,0.0167,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0589031218137317
"151","Geothlypis_trichas",1.7001,2156.4,5300,0.0098,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0410736216661508
"152","Icteria_virens",40.0001,2466.4,1300,0.027,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0203421447256411
"153","Melospiza_melodia",45.0001,753.4,1600,0.0216,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0225675833419103
"154","Passerina_caerulea",25.0001,1497.6,61900,0.0279,"Aves","Passeriformes","Invertivore","air","air","air","air",0.140368735674211
"155","Passerina_cyanea",470.0001,2317.6,1100,0.0143,"Aves","Passeriformes","Herbivore","air","air","air","air",0.0187120515925478
"156","Protonotaria_citrea",1.4201,2527,15000,0.0161,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0690988298942671
"157","Setophaga_ruticilla",0.2501,3997.3,1900,0.009,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0245924537968297
"158","Sialia_sialis",160.0001,836,10100,0.0308,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567003514138694
"159","Spiza_americana",0.1126,3533.9,8900,0.035,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0532255388609241
"160","Lanius_ludovicianus",79.7001,567.5,60000,0.0481,"Aves","Passeriformes","Invertivore","air","air","air","air",0.138197659788534
"161","Pipilo_erythrophthalmus",15.0001,569.8,73100,0.041,"Aves","Passeriformes","Herbivore","air","air","air","air",0.15254000354017
"162","Charadrius_montanus",3.5001,1165.3,566000,0.0957,"Aves","Charadriiformes","Invertivore","","air","air","land_air",0.424456588569462
"163","Cardellina_canadensis",0.5001,5217.1,10117.1,0.0093,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567483299270563
"164","Setophaga_pensylvanica",35.0001,3458.6,6070.28,0.0096,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0439571397602681
"165","Setophaga_petechia",0.1196,3740,1699.68,0.0095,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0232599429781946
"166","Spizella_passerina",40.0001,1839.1,30756.1,0.0142,"Aves","Passeriformes","Omnivore","air","air","air","air",0.0989442807364695
"167","Sturnella_magna",6.0001,359.4,30351.4,0.089,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0982911526004182
"168","Sturnella_neglecta",0.5001,877.5,30351.4,0.089,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0982911526004182
"169","Troglodytes_aedon",75.0001,1142,4046.86,0.0112,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0358908838843756
"170","Troglodytes_troglodytes",8.9001,1127.8,10117.1,0.0095,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0567483299270563
"171","Vireo_bellii",4.0001,1537.3,11735.9,0.01,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0611199884920175
"172","Vireo_griseus",55.0001,1122.6,1335.463,0.0114,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0206177369158854
"173","Megascops_asio",2.3001,0,485100,0.2021,"Aves","Strigiformes","Invertivore","air","air","","air",0.392953083443503
"174","Malurus_splendens",2.4001,0,43000,0.01,"Aves","Passeriformes","Invertivore","air","air","","air",0.116992842113964
"175","Perisoreus_canadensis",11.3001,0,870000,0.071,"Aves","Passeriformes","Omnivore","air","air","","air",0.526241010355424
"176","Strix_nebulosa",50.0001,0,47800000,1.16,"Aves","Strigiformes","Carnivore","air","air","","air",3.90066821962407
"177","Tetrastes_bonasia",5.7001,0,120000,0.429,"Aves","Galliformes","Herbivore","land","land","","land",0.195441004761168
"178","Panthera_leo",12.3001,0,2.4e+08,155.8,"Mammalia","Carnivora","Carnivore","land","land","","land",8.74038744473663
"179","Leopardus_pardalis",9.9001,0,16100000,9.98964,"Mammalia","Carnivora","Carnivore","land","land","","land",2.26379971895904
"180","Peromyscus_maniculatus",1.3201,0,8100,0.016,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0507770625192981
"181","Picoides_borealis",90.0001,0,869000,0.044,"Aves","Piciformes","Invertivore","air","air","","air",0.525938486035881
"182","Gymnorhinus_cyanocephalus",640.0001,0,59800000,0.103,"Aves","Passeriformes","Omnivore","air","air","","air",4.36290398631355
"183","Caracal_caracal",90.0001,0,275760000,12.9999,"Mammalia","Carnivora","Carnivore","land","land","","land",9.36894520285193
"184","Mustela_nivalis",6.6401,0,67500,0.0881,"Mammalia","Carnivora","Carnivore","land","land","","land",0.146580753570876
"185","Aquila_adalberti",430.0001,0,1.2e+07,3,"Aves","Accipitriformes","Carnivore","air","air","","air",1.95441004761168
"186","Parabuteo_unicinctus",160.0001,0,3900000,0.73,"Aves","Accipitriformes","Carnivore","air","air","","air",1.11418515342684
"187","Iguana_iguana",1.4101,0,4370,1.068414286,"Reptilia","Squamata","Herbivore","land","land","","land",0.0372963028009904
"188","Lagopus_lagopus",7.5001,0,25899.9,0.62,"Aves","Galliformes","Herbivore","land","land","","land",0.0907975452375865
"189","Poecile_palustris",1.7701,0,22662.4,0.011,"Aves","Passeriformes","Invertivore","air","air","","air",0.0849333030362739
"190","Aegithalos_caudatus",24.9001,0,42000,0.008,"Aves","Passeriformes","Invertivore","air","air","","air",0.115624457705622
"191","Lampropeltis_triangulum",0.5001,0,240400,0.165,"Reptilia","Squamata","Carnivore","land","land","","land",0.276625553119345
"192","Picus_viridis",27.8001,0,1850000,0.18667,"Aves","Piciformes","Invertivore","air","air","","air",0.767380798196054
"193","Coluber_constrictor",2.2901,0,151000,0.55615,"Reptilia","Squamata","Carnivore","land","land","","land",0.219236841825804
"194","Dicamptodon_tenebrosus",0.06635,0.05,2978.58,0.06765,"Amphibia","Caudata","Carnivore","land","land","land","land",0.0307914186225532
"195","Thomomys_bottae",0.3001,0,71.14,0.16018,"Mammalia","Rodentia","Herbivore","land","land","","land",0.00475863061217351
"196","Carcharhinus_limbatus",2146.0001,2148,977000,25.258,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine",0.557663661001471
"197","Sternotherus_odoratus",0.0111,0,28000,0.19,"Reptilia","Testudines","Carnivore","land","land","","aquatic",0.094406974388263
"198","Nerodia_erythrogaster",1.0001,0,131000,0.31324,"Reptilia","Squamata","Carnivore","land","land_aquatic","","land_aquatic",0.2042023386009
"199","Pseudacris_triseriata",0.2131,0,2117,0.00179,"Amphibia","Anura","Invertivore","land","land","land","land",0.0259588526143026
"200","Riparia_riparia",144.0001,3454,282743,0.012,"Aves","Passeriformes","Invertivore","air","air","air","air",0.299999820248719
"201","Accipiter_cooperii",35.2001,2500,84646.0836,0.47,"Aves","Accipitriformes","Carnivore","air","air","air","aor",0.164145317437384
"202","Asio_flammeus",326.9001,4722,408.04,0.315,"Aves","Strigiformes","Carnivore","air","air","air","air",0.0113966295876647
"203","Buteo_lineatus",24.0001,1000,4604.9796,0.625,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.0382859051395507
"204","Buteo_swainsoni",320.0001,13504,182628.0225,0.988,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.241106418529134
"205","Chordeiles_minor",0.0501,11000,108.16,0.062,"Aves","Caprimulgiformes","Invertivore","air","air","air","air",0.00586757166889667
"206","Falco_sparverius",4.9301,6000,31201.6896,0.114,"Aves","Falconiformes","Carnivore","air","air","air","air",0.0996584480378757
"207","Haliaeetus_leucocephalus",69.2001,930,41330.89,3.997,"Aves","Accipitriformes","Carnivore","air","air","air","air",0.114699742335259
"208","Falco_columbarius",81.1001,3400,125663.7,0.218,"Aves","Falconiformes","Carnivore","air","air","air","air",0.199999995111085
"209","Falco_peregrinus",357.0001,8600,12600000,0.7815,"Aves","Falconiformes","Carnivore","air","air","air","air",2.00267435343736
"210","Numenius_phaeopus",1.6301,5000,210000,0.4,"Aves","Charadriiformes","Omnivore","air","air","air","air_land",0.258544147291321
