scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Chordeiles minor,chordeilesminor,0.05,SDS,Brigham_etal_2011,mean,50,m,11000,SDS - changed source,Hein_Gillooly_2011,,km,108.16,DM,Armstrong_1965,10.4,ha,0.062,Hein_etal_2012,sds,4,MG,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,16600000,IUCN (estimated extent of occurrence),
Acrocephalus scirpaceus,acrocephalusscirpaceus,11,MG,Bulyuk_et_al_2000,mean,Weighted average of post-fledging dispersal,,6000,CJL,Hein_etal_2012,6000,km,15700,SDS,Andueza_etal_2014,1.57,ha,0.011,Hein_etal_2012,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,38000000,IUCN (estimated extent of occurrence),
Asio flammeus,asioflammeus,326.9,MG,Calladine_et_al_2012,mean,Taken from pictured of breeding/natal areas,,4722,SDS - changed source,Johnson_etal_2017,,km,408.04,DM,Armstrong_1965,2.02E+01,ha,3.15E-01,Armstrong_1965,yes,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,Johnson_2017,air,air,air,246000000,IUCN (estimated extent of occurrence),
Setophaga petechia,setophagapetechia,0.1195,DM,Cilimburg_et_al_2002,median,119.5,m,3740,CF alternative name: Dendroica petechia,Horton_2018,3740,km,1699.68,SDS,Schoener_1968,0.42,acres,0.0095,Schoener_1968,sds,4,MG,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,15700000,IUCN (estimated extent of occurrence),
Cervus nippon,cervusnippon,1.6,MG,Davidson_1979,mean,1.6,km (this dispersal value is in New Zealand),100,CJL,Hein_etal_2012,100,km,851490.88,DM,Tamburello_etal_2015,851490.88,m2,29.45032,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land,,,
Dicrostonyx groenlandicus,dicrostonyxgroenlandicus,20,CF,Ehrich_etal_2001,max?,20,km - distance between farthest apart populations with known movement between,5.4,CJL,Hein_etal_2012,5.4,km,2000,CJL,Mace_Harvey_1983,0.2,ha,0.054,Hein_etal_2012,yes,4,PLT,Herbivore,Herbivore,EOL,,land,inferred,land,land,land,8253493,IUCN (estimated extent of occurrence),
Lemmus lemmus,lemmuslemmus,20,CF- changed value,Ehrich_Stenseth_2001,mean,3,km - the 3km value was for the max distance moved in one day in a radio tracking study. This dispersal distance is estimated from fst,32,CJL,Hein_etal_2012,32,km,8560,CJL - value was 6810 (one of the four groups),Banks_etal_1975,weighted average ((12*1.33)+(6*.681)+(13*0.876)+(11*0.413))/(12+6+13+11) of four groups,ha,0.1,Hein_etal_2012,sds,4,,Herbivore,Herbivore,EOL,,land,inferred,land,land,land,1336282,IUCN (estimated extent of occurrence),
Dolichonyx oryzivorus,dolichonyxoryzivorus,1.522,SDS - changed value,Fajardo_etal_2009,mean,1522,m,8057,SDS - changed source,LaSorte_etal_2013,,km,7450,"SDS changed from 7.85E5, averaged from male territory size",Renfrew_etal_2015,0.745,ha,0.042,Hein_etal_2012,sds,4,,Omnivore/Granivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,1200000,IUCN (estimated extent of occurrence),
Turdus migratorius,turdusmigratorius,40,MG,Farner_1945,mean,25,miles,6400,SDS - changed source,Hein_Gillooly_2011,,km,1214.06,SDS,Schoener_1968,0.3,acres,0.077,Hein_etal_2012,sds,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,22700000,IUCN (estimated extent of occurrence),
Ovibos moschatus,ovibosmoschatus,5,SDS,Forchhammer_1995,mean,,,320,CJL,Hein_etal_2012,320,km,25500000,SDS,Reynolds_1992,25.5,km2,480,Hein_etal_2012,yes,4,,Herbivore/Grazer/Browser,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Anaxyrus americanus,anaxyrusamericanus,0.686,MG,Forester_etal_2006,mean,686,m,0.45273,DM,Trochet_etal_2014,452.73,m,687.95,DM,Trochet_etal_2014_2014,687.95,m2,0.06,Trochet_etal_2014_2014,yes,4,,Carnivore/Insectivore,Invertivore,Trochet_etal_2014,walking - land,land,Trochet_etal_2014,land,land,land,,,
Anas crecca,anascrecca,0.5,SDS,Fox_1986,mean,"500 - rough average of badly labelled figure, range 100 - 2000m ",m,5000,SDS - changed source,Hein_Gillooly_2011,,km,747500,SDS,Legagneux_etal_2009,74.75,ha,0.35,Hein_etal_2012,sds,4,MG,Herbivore/Herbivore aquatic,Herbivore,Pigot_etal_2020,,,Legagneux_2008,air,air,air_land_aquatic,48200000,IUCN (estimated extent of occurrence),
Connochaetes taurinus,connochaetestaurinus,170,CF,Georgiadis_1995,mean,170,km - estimated from map of distance between 2 pops with gene flow,400,CJL,Hein_etal_2012,400,km,20000,CJL,Grant_etal_1992,0.02,km2,140,Hein_etal_2012,sds,4,MG,Herbivore/Folivore,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Sturnella neglecta,sturnellaneglecta,0.5,MG,Giovanni_2009,max (up to),>0.5,Km for post-fledging dispersal,877.5,CF,Horton_2018,877.5,km,30351.4,SDS,Schoener_1968,7.5,acres,0.089,Schoener_1968,sds,4,CF,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,7760000,IUCN (estimated extent of occurrence),
Grus canadensis,gruscanadensis,0.9,CJL,Hayes_2015,mean,0.9,km,4000,SDS - changed source,Hein_Gillooly_2011,,km,13850000,MG - value was 10115000,Ivey_etal_2014,2.1,km,4.4,Hein_etal_2012,sds,4,,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,ADW,air,air,air_land,4530000,IUCN (estimated extent of occurrence),
Crocuta crocuta,crocutacrocuta,10,CF-changed source and value- previosuly no source,Hofer_East_1995,mean,10,"km (average natal dispersal of males. All males disperse, females do not)",80,CJL,Hein_etal_2012,80,km,2.50E+07,MG,Gittleman_Harvey_1982,25,km2,59,Hein_etal_2012,yes,4,,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,land,land,,,
Scapanus townsendii,scapanustownsendii,0.856,DM,Jenkins_et_al_2007,max,856,m,0,MG,IUCN,non-migrant,,1000,CJL,Harestad_ Bunnel_1979,0.1,ha,0.142,Harestad_ Bunnel_1979,sds,4,CF,Invertivore/Insectivore,Invertivore,EOL,,land,inferred,land,,land,170206,IUCN (estimated extent of occurrence),
Heterodon platirhinos,heterodonplatirhinos,0.244,DM,Jenkins_et_al_2007,max,244,m,0.3,SDS - changed source,Vanek_Wasco_2017,300,m,516375,DM,Tamburello_etal_2015,516375,m2,0.14732,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,crawling - land,land,Tamburello_etal_2015,land,land,land,,,
Desmognathus fuscus,desmognathusfuscus,0.04,DM,Jenkins_et_al_2007,max,40,m,0.0171,SDS,Ashton_1975,17.1,m,48.4,SDS,Barbour_etal_1969,48.4,m^2,0.0045,Gatz_Piiper_1979,sds,4,PLT,Carnivore,Invertivore,EOL,,,Grant_2010/ personal communication with salamander expert,land_aquatic,land_aquatic,land_aquatic,,,
Dryocopus pileatus,dryocopuspileatus,32,DM,Jenkins_et_al_2007,max,32000,m,0,MG,IUCN,non-migrant,,2630000,SDS,Bowman_2003,263,ha,0.287,Best_etal_1996,sds,4,CJL,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,13400000,IUCN (estimated extent of occurrence),
Toxostoma curvirostre,toxostomacurvirostre,30,DM,Jenkins_et_al_2007,max,30000,m,0,MG,IUCN,non-migrant,,20000,SDS,Bowman_2003,2,ha,0.08054,Sibly_etal_2012,sds,4,CJL,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,2860000,IUCN (estimated extent of occurrence),
Elanus leucurus,elanusleucurus,160,DM,Jenkins_et_al_2007,max,160000,m,0,MG,Bildstein_2004,All range falls in tropics,,78000,SDS,Bowman_2003,7.8,ha,0.325,Jenkins_etal_2007,sds,4,CF,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,,air,42700000,IUCN (estimated extent of occurrence),
Bubo virginianus,bubovirginianus,1305,DM,Jenkins_et_al_2007,max,1305000,m,0,MG,Fristoe_et_al_2017,,,4.80E+06,DM,Makarieva_etal_2005,480,ha,1.51,Tamburello_etal_2015,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,,air,65900000,IUCN (estimated extent of occurrence),
Cryptobranchus alleganiensis,cryptobranchusalleganiensis,0.99,DM,Jenkins_et_al_2007,max,990,m,0,MG,Bodinof_etal_2012,Hellbender movements indicated a short period of exploration followed by more permanent settlement and high site fidelity typical of wild conspecifics,,110,SDS,Hillis_Bellis_1971,10,m,0.571,Humphries_Pauley_2005,sds,4,PLT,Carnivore,Invertivore,EOL,,water,personal communication with salamander expert,water,water,water,,,
Sylvilagus bachmani,sylvilagusbachmani,0.352,DM,Jenkins_et_al_2007,max,352,m,0,SDS,Chapman_1974,,,2800,CJL,Harestad_ Bunnel_1979,0.28,ha,0.695,Harestad_ Bunnel_1979,sds,4,CF,Herbivore/Browser/Grazer,Herbivore,EOL,,land,inferred,land,land,land,809968,IUCN (estimated extent of occurrence),
Deirochelys reticularia,deirochelysreticularia,0.192,DM,Jenkins_et_al_2007,max,192,m,0.1,MG,Buhlmann_1995,95,m,23800,DM,Tamburello_etal_2015,23800,m2,0.588,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,land,land_aquatic,,,
Dendragapus obscurus,dendragapusobscurus,11,DM,Jenkins_et_al_2007,max,11000,m,4.5,MG,Cade_Hoffman_1993,"Males (median = 10.5 km, range = 1.0-29.4 km) also moved farther than females (median = 1.0 km, range = 0.1-28.0 km),",km,16996.8,SDS,Schoener_1968,4.2,acres,1.05,Schoener_1968,yes,4,PLT,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,land,Fowle_1960,land,land,land,3390000,IUCN (estimated extent of occurrence),
Strix occidentalis,strixoccidentalis,87.4,DM,Jenkins_et_al_2007,max,87400,m,31,MG - value was 50,Laymon_1989,3.10E+01,km,1.40E+07,DM,Makarieva_etal_2005,1400,ha,0.637,Jenkins_etal_2007,yes,4,CF,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,3920000,IUCN (estimated extent of occurrence),
Chrysemys picta,chrysemyspicta,0.621,DM,Jenkins_et_al_2007,max,621,m,0.06,MG - value was 0.6,Congdon_Gatten_1989,60,m,31500,DM,Tamburello_etal_2015,31500,m2,0.3545,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal/ Rowe_2003,land_aquatic,land_aquatic,aquatic,,,
Mus musculus,musmusculus,1.5,DM,Jenkins_et_al_2007,max,1500,m,0.01,CF,Sidorov_2010,estimated based on description of seasonal movement in and out of buildings,meters,800,CJL,Mace_Harvey_1983,0.08,ha,0.014,Mace_Harvey_1983,sds,4,SDS,Omnivore/Herbivore/Carnivore,Omnivore,ADW,running,land,Hirt_etal,land,land,land,<20000,IUCN (estimated extent of occurrence),
Castor canadensis,castorcanadensis,40.6,DM,Jenkins_et_al_2007,max,40600,m,0,CF,Lancia_etal_1982,all winter activity cose to permanent lodge,NA,32374.9,DM,McNab_1963,8,acres,20.25,Jenkins_etal_2007,sds,4,MG,Herbivore/Browser,Herbivore,EOL,,,McClintic_2014,land_aquatic,,land_aquatic,23888811,IUCN (estimated extent of occurrence),
Canis latrans,canislatrans,232,DM,Jenkins_et_al_2007,max,232200,m,35.8,CF,Gantz_Knowlton_2005,3.58E+01,km,6.19E+06,CJL,Swihart_etal_1988,618.5,ha,14.06,Jenkins_etal_2007,sds,4,PLT,Omnivore/Carnivore,Omnivore,ADW,running,land,Hirt_etal,land,land,land,,,
Emydoidea blandingii,emydoideablandingii,1.115,DM,Jenkins_et_al_2007,max,1115,m,1.3,CJL - changed source & value,Congdon_etal_2011,1300,m,33000,DM,Tamburello_etal_2015,33000,m2,1.294,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land_aquatic,land,land_aquatic,,,
Meles meles,melesmeles,8.3,DM,Jenkins_et_al_2007,max,8300,m,0,CJL - changed source,IUCN,"""not a migrant""",,870000,MG,Gittleman_Harvey_1982,0.87,km2,13,Prugh_etal_2008,sds,4,SDS,Omnivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,>20000,IUCN (estimated extent of occurrence),
Larus delawarensis,larusdelawarensis,700,DM,Jenkins_et_al_2007,max,700000,m,1563,MG,Gabrey_1996,1.56E+03,km,1.50E+08,SDS value was 1.5E8,Clark_etal_2016,20,km,0.57,Jenkins_etal_2007,sds,4,SDS,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,8890000,IUCN (estimated extent of occurrence),
Varanus varius,varanusvarius,1.8,DM,Jenkins_et_al_2007,max,1800,m,0,CJL,Guarino_2002,home ranges overlap from season to season,,558000,DM,Perry_Garland_2002,557600,m2,0.5651,Perry_Garland_2002,yes,4,SDS,Carnivore,Carnivore,Perry_Garland_2002,running,land,Hirt_etal,land,,land,,,
Urile pelagicus,urilepelagicus,150,CJL,Jenkins_et_al_2007,max,150000,m,920,MG,Hatch_et_al_2011,,,3.14E+08,MG,Hatch_et_al_2011,10,km,1.562,Hatch_et_al_2001,sds,4,MG,Carnivore/aquatic predator,Carnivore,Pigot_etal_2020,,,Hatch_2001,air,air,air_marine,22200000,IUCN (estimated extent of occurrence),
Apus apus,apusapus,111,DM,Jenkins_et_al_2007,max,111000,m,12000,CJL,Hein_etal_2012,12000,km,9.33E+09,"MG - value as 54500, changed to m but not to m2",ADW,48-61,km,0.04,Akesson_etal_2012,sds,4,PT,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,13300000,IUCN (estimated extent of occurrence),
Bucephala clangula,bucephalaclangula,6,DM,Jenkins_et_al_2007,max,6000,m,3000,CJL,Hein_etal_2012,3000,km,110000,SDS,Bowman_2003,11,ha,0.92,Hein_etal_2012,sds,4,MG,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,Dow_1983,air,air,aquatic,46900000,IUCN (estimated extent of occurrence),
Ficedula hypoleuca,ficedulahypoleuca,56,DM,Jenkins_et_al_2007,max,56000,m,7000,CJL,Hein_etal_2012,7000,km,14000,SDS,Bowman_2003,1.4,ha,0.016,Hein_etal_2012,sds,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,5580000,IUCN (estimated extent of occurrence),
Chroicocephalus ridibundus,chroicocephalusridibundus,189.5,CJL,Jenkins_et_al_2007,max,189500,m,4000,CJL,Hein_etal_2012,4000,km,1.08E+09,yes,Gorke_Brandl_1986,,,0.28,Hein_etal_2012,sds,4,SDS,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,44500000,IUCN (estimated extent of occurrence),
Larus fuscus,larusfuscus,202,DM,Jenkins_et_al_2007,max,202000,m,6500,CJL,Hein_etal_2012,6500,km,1.61E+08,"SDS - was 1.13e8, new source",Thaxter_etal_2015,161,km2,0.8,Hein_etal_2012,sds,4,SDS,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,air,inferred,air,air,air,153000,IUCN (estimated extent of occurrence),
Sylvia communis,sylviacommunis,52.4,DM,Jenkins_et_al_2007,max,52400,m,9000,CJL,Hein_etal_2012,9000,km,2000,CJL,Halupka_etal_2002,0.2,ha,0.018,Hein_etal_2012,sds,4,CF,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,23000000,IUCN (estimated extent of occurrence),
Cervus canadensis,cervuscanadensis,18.5,DM,Jenkins_et_al_2007,max,18500,m,190,CJL,Hein_etal_2012,190,km,12925400,SDS,Harestad_ Bunnel_1979,1292.54,ha,270,Hein_etal_2012,sds,4,,Herbivore/Grazer,Herbivore,ADW,running,land,Hirt_etal,land,land,land,,,
Carcharodon carcharias,carcharodoncarcharias,1450,DM,Jenkins_et_al_2007,max,1445000,m,11000,CJL,Hein_etal_2012,11000,km,7855000,CF,Jewell_et_al_2014,,,550,Hein_etal_2012,yes,4,CJL,Carnivore,Carnivore,EOL,swimming,water,Hirt_etal,marine,marine,marine,,,
Canis lupus,canislupus,886,DM,Jenkins_et_al_2007,max,886000,m,500,CJL,Hein_etal_2012,500,km,6.25E+07,SDS,Lindstedt_etal_1986,6250,ha,37,Hein_etal_2012,yes,4,,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,land,land,>20000,IUCN (estimated extent of occurrence),
Schistocerca gregaria,schistocercagregaria,2300,DM,Jenkins_et_al_2007,max,2300000,m,5000,CJL,Hein_etal_2012,5000,km,434.78,MG,Maeno_2016,434.78,with an overall mean density of 0.0023 (SE = ±0.0003) individuals/m2,0.002,Hein_etal_2012,yes,4,CF,Herbivore,Herbivore,Raubenheimer_Simpson_2003,,air,Kennedy_1951,air,air,land,,,
Tursiops truncatus,tursiopstruncatus,1000,DM,Jenkins_et_al_2007,max,1000000,m,1100,CJL,Hein_etal_2012,1100,km,5.13E+07,MG - value was 1.25E+08,Gubbins_2002,51.3,km2,140,Hein_etal_2012,yes,4,,Carnivore/piscivore,Carnivore,EOL,swimming,water,Hirt_etal,marine,marine,marine,,,
Isurus oxyrinchus,isurusoxyrinchus,4543,DM,Jenkins_et_al_2007,max,4543000,m,2400,CJL,Hein_etal_2012,2400,km,1.04E+09,SDS - avg of daily movements table,Rogers_etal_2015,36.39,km,58,Hein_etal_2012,sds,4,MG,Carnivore,Carnivore,EOL,swimming,water,Hirt_etal,marine,marine,marine,,,
Apodemus sylvaticus,apodemussylvaticus,0.5,DM,Jenkins_et_al_2007,max,500,m,0,SDS,Kikkawa_1964,resident,km,13052.09,DM,Tamburello_etal_2015,13052.09,m2,0.0212,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,11314418,IUCN (estimated extent of occurrence),
Fringilla coelebs,fringillacoelebs,22.6,DM,Jenkins_et_al_2007,max,22600,m,5000,CJL,Hein_etal_2012,5000,km,42000,DM,Tamburello_etal_2015,42000,m2,0.02325,Tamburello_etal_2015,yes,4,,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,9660000,IUCN (estimated extent of occurrence),
Motacilla flava,motacillaflava,35.5,DM,Jenkins_et_al_2007,max,35500,m,8000,CJL,Hein_Gillooly_2011,8000,km,10117.13,DM,Tamburello_etal_2015,10117.13,m2,0.0175,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,40900000,IUCN (estimated extent of occurrence),
Muscicapa striata,muscicapastriata,48,DM,Jenkins_et_al_2007,max,48000,m,13000,CJL,Hein_Gillooly_2011,13000,km,10000,DM,Tamburello_etal_2015,10000,m2,0.0128,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,20600000,IUCN (estimated extent of occurrence),
Mustela erminea,mustelaerminea,5.6,DM,Jenkins_et_al_2007,max,5600,m,0,CJL - changed source,IUCN,"""not a migrant""",km,1323244.2,DM,Tamburello_etal_2015,1323244.2,m2,0.27054,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,,,
Oenanthe oenanthe,oenantheoenanthe,95.6,DM,Jenkins_et_al_2007,max,95600,m,1400,CJL,Hein_Gillooly_2011,1400,km,15378.03,DM,Tamburello_etal_2015,15378.03,m2,0.0252,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,19300000,IUCN (estimated extent of occurrence),
Onychomys torridus,onychomystorridus,0.329,DM,Jenkins_et_al_2007,max,329,m,0,SDS - changed source,O'Farrell_1974,resident,km,25945.38,DM,Tamburello_etal_2015,25945.38,m2,0.022,Tamburello_etal_2015,yes,4,,Carnivore,Carnivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,1055420,IUCN (estimated extent of occurrence),
Phoenicurus phoenicurus,phoenicurusphoenicurus,36,DM,Jenkins_et_al_2007,max,36000,m,6000,CJL,Hein_Gillooly_2011,6000,km,4500,DM,Tamburello_etal_2015,4500,m2,0.01521,Tamburello_etal_2015,yes,4,,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,20300000,IUCN (estimated extent of occurrence),
Streptopelia turtur,streptopeliaturtur,30.4,DM,Jenkins_et_al_2007,max,30400,m,6000,CJL,Hein_Gillooly_2011,6000,km,63585000,DM,Tamburello_etal_2015,63585000,m2,0.14033,Tamburello_etal_2015,yes,4,,Herbivore/Granivore,Herbivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_2015,air,air,air,7080000,IUCN (estimated extent of occurrence),
Sylvilagus floridanus,sylvilagusfloridanus,3.9,DM,Jenkins_et_al_2007,max,3900,m,0,SDS - changed source,Schribner_Warren_1990,,km,28920.11,DM,Tamburello_etal_2015,28920.11,m2,1.36079,Tamburello_etal_2015,yes,4,,Herbivore,Herbivore,Tamburello_etal_2015,walking - land,land,Tamburello_etal_2015,land,,land,19065866,IUCN (estimated extent of occurrence),
Prionace glauca,prionaceglauca,7870,DM,Jenkins_et_al_2007,max,7871000,m,3200,CJL,Hein_Gillooly_2011,3200,km,1.64E+12,SDS - measured from map,Vandeperre_etal_2014,1640000,km2,70,Nakano_2003,yes- Hein_Gillooly_2011 had 6.7kg- clearly an order of magnitude off,4,CF,Carnivore,Carnivore,EOL,,water,inferred,marine,marine,marine,,,
Physeter catodon,physetercatodon,4000,CJL,Jenkins_et_al_2007,max,4000000,m,5000,CJL,Hein_Gillooly_2011,5000,km,3.14E+12,SDS - hr spanned 2000 km,Whitehead_2008,2000,km,45000,Hein_etal_2012,yes,4,MG,Omnivore/Carnivore,Carnivore,ADW,,water,inferred,marine,marine,marine,,,
Corvus corax,corvuscorax,11.48,DM,Jenkins_et_al_2007,max,11480,m,0,MG,Heldbjerg_Fox_2008,Sedentary,,9388707,SDS,Schoener_1968,2320,acres,1.134,Armstrong_1965,sds,4,MG,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,,air,137000000,IUCN (estimated extent of occurrence),
