scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Tamias striatus,tamiasstriatus,0.22,DM,Prugh_etal_2008,0.22,km,0,SDS - changed source,Lavesque_Tattersall_2010,non-migrant,,1100,CJL,Harestad and Bunnel 1979,0.11,ha,0.085,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Frugivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,5605677,IUCN (estimated extent of occurrence),
Tamias quadrivittatus,tamiasquadrivittatus,7.19,DM,Prugh_etal_2008,7.19,km,0,SDS - changed source,Howell_1929,non-migrant,,67300,CJL - value was 68300,Swithart_etal_1988,6.73,ha,0.058,Swihart_etal_1988,sds,4,CF,Omnivore/Herbivore,Omnivore,EOL,,,inferred,land,,land,355265,IUCN (estimated extent of occurrence),
Thomomys talpoides,thomomystalpoides,0.79,DM,Prugh_etal_2008,0.79,km,0,MG,BEAUVAIS_2005,non-migrant,,200,CJL,Harestad and Bunnel 1979,0.02,ha,0.14,Harestad_ Bunnel_1979,sds,4,CF,Herbivore/Browser,Herbivore,EOL,,,inferred,land,,land,3626522,IUCN (estimated extent of occurrence),
Pecari tajacu,pecaritajacu,0.25,MG,Oldenburg_et_al_1985,Mode separation distance is 200-299 m,,0,MG,Bigler_1974,Pecaries did not move seasonally to track any other species,,1.35E+06,CJL,Harestad and Bunnel 1979,135.21,ha,23.814,Harestad_ Bunnel_1979,sds,4,,Omnivore/Herbivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,,,
Elanus leucurus,elanusleucurus,160,DM,Jenkins_et_al_2007,160000,m,0,MG,Bildstein_2004,All range falls in tropics,,78000,SDS,Bowman_2003,7.8,ha,0.325,Jenkins_etal_2007,sds,4,CF,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,42700000,IUCN (estimated extent of occurrence),
Bubo virginianus,bubovirginianus,1305,DM,Jenkins_et_al_2007,1305000,m,0,MG,Fristoe_et_al_2017,,,4.80E+06,DM,makarieva_etal_2005,480,ha,1.51,Tamburello_etal_2015,sds,4,CJL,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,flying - air,air,Tamburello_etal,air,,air,65900000,IUCN (estimated extent of occurrence),
Parkesia motacilla,parkesiamotacilla,4,DM,Prugh_etal_2008,4,km,2540,SDS - was 2500,LaSorta_etal_2013,km,,20000,SDS,Bowman_2003,2,ha,0.02,Best_etal_1996,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,Bowman_2003,air,air,air_land,3520000,IUCN (estimated extent of occurrence),
Cryptobranchus alleganiensis,cryptobranchusalleganiensis,0.99,DM,Jenkins_et_al_2007,990,m,0,MG,Bodinof et al. 2012,Hellbender movements indicated a short period of exploration followed by more permanent settlement and high site fidelity typical of wild conspecifics,,110,SDS,Hillis&Bellis_1971,10,m,0.571,Humphries_Pauley_2005,sds,4,PLT,Carnivore,Carnivore,EOL,,,personal communication with salamander expert,water,water,water,,,
Sylvilagus bachmani,sylvilagusbachmani,0.352,DM,Jenkins_et_al_2007,352,m,0,SDS,Chapman_1974,,,2800,CJL,Harestad and Bunnel 1979,0.28,ha,0.695,Harestad_ Bunnel_1979,sds,4,CF,Herbivore/Browser/Grazer,Herbivore,EOL,,,inferred,land,land,land,809968,IUCN (estimated extent of occurrence),
Tamias minimus,tamiasminimus,3.02,DM,Prugh_etal_2008,3.02,km,0,SDS,Verts_Carraway_2001,,,21000,CJL,Swithart_etal_1988,2.1,ha,0.045,Swihart_etal_1988,sds,4,CF,Omnivore/Frugivore/Granivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,9004167,IUCN (estimated extent of occurrence),
Blarina brevicauda,blarinabrevicauda,7.71,DM,Prugh_etal_2008,7.71,km,0,MG,Buchler_Wasilewski_1985,non-migratory,,3520.765,DM,McNab_1963,0.87,acres,0.018,McNab_1963,sds,4,MG,Omnivore/Carnivore,Omnivore,EOL,,,inferred,land,land,land,6066474,IUCN (estimated extent of occurrence),
Deirochelys reticularia,deirochelysreticularia,0.192,DM,Jenkins_et_al_2007,192,m,0.1,MG,Buhlmann_1995,95,m,23800,DM,Tamburello_etal,23800,m2,0.588,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,land,land_aquatic,,,
Dendragapus obscurus,dendragapusobscurus,11,DM,Jenkins_et_al_2007,11000,m,4.5,MG,Cade_Hoffman_1993,"Males (median = 10.5 km, range = 1.0-29.4 km) also moved farther than females (median = 1.0 km, range = 0.1-28.0 km),",km,16996.8,SDS,Schoener_1968,4.2,acres,1.05,Schoener_1968,yes,4,PLT,Herbivore/Herbivore terrestrial,Herbivore,Pigot_etal_2020,,,ADW,land,land,land,3390000,IUCN (estimated extent of occurrence),
Strix occidentalis,strixoccidentalis,87.4,DM,Jenkins_et_al_2007,87400,m,31,MG - value was 50,Laymon_1989,3.10E+01,km,1.40E+07,DM,makarieva_etal_2005,1400,ha,0.637,Jenkins_etal_2007,yes,4,CF,Carnivore/Vertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,3920000,IUCN (estimated extent of occurrence),
Chrysemys picta,chrysemyspicta,0.621,DM,Jenkins_et_al_2007,621,m,0.06,MG - value was 0.6,Congdon_Gatten_1989,60,m,31500,DM,Tamburello_etal,31500,m2,0.3545,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal/ Rowe_2003,land_aquatic,land_aquatic,aquatic,,,
Ursus arctos,ursusarctos,36.6,DM,Prugh_etal_2008,36.6,km,0,CF,Eriksen_2018,spend winter hibernating',NA,5.31E+07,MG,Gittleman and Harvey (1982),53.1,km2,204.12,Harestad_ Bunnel_1979,sds,4,MG,Omnivore/Herbivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,,,
Sylvilagus palustris,sylvilaguspalustris,0.56,DM,Prugh_etal_2008,0.56,km,0,CF,ADW,year-round home ranges,NA,39600.44,DM,Tamburello_etal,39600.44,m2,1.34999,Tamburello_etal_2015,yes,4,CJL,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land_aquatic,723439.5,IUCN (estimated extent of occurrence),
Vulpes rueppellii,vulpesrueppellii,32,DM,Whitmee_Orme_2013,32,linear km,0,CF,Lindsay_1986,territories maintained throughout the year',NA,30399749.15,DM,Tamburello_etal,30399749.15,m2,3.24997,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,,,
Hylobates lar,hylobateslar,0.62,DM,Whitmee_Orme_2013,620,linear m,0,CF,Bartlett_2009,year-round home ranges,NA,386666.667,MG,Galan-Acedo et al. 2019,38.66667,ha,5.64,Galan-Acedo_etal_2019,yes,4,SDS,Omnivore/Frugivore,Omnivore,EOL,arborial,,inferred,land,,land,,,
Didelphis marsupialis,didelphismarsupialis,4.3,DM,Prugh_etal_2008,4.3,km,0,CF,Caceres_2003,breeding season homerange a subset of yearround home range,NA,598800,CJL,Harestad and Bunnel 1979,59.88,ha,2.724,Harestad_ Bunnel_1979,sds,4,CJL,Omnivore/Carnivore,Omnivore,EOL,,,inferred,land,,,,,
Panthera pardus,pantherapardus,9.83,DM,Whitmee_Orme_2013,9.83,linear km,0,CF,Rozhonov_2015,remained in same area over 464  day study,NA,21080000,CJL - value was 40350000,Kroshko et al. 2016,21.08,km2,52.4,Gittleman_Harvey_1982,sds,4,CJL,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,,,
Panthera tigris,pantheratigris,101.3,CF- changed value,Singh_etal_2013,124.2,km - changed value to the average for males and females. Origional entry was just males,0,CF,ADW,year-round home ranges,,69690000,CJL - value was 42750000,Kroshko et al. 2016,69.69,km2,161,Gittleman_Harvey_1982,sds,4,CJL,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,1184911,IUCN (estimated extent of occurrence),
Microtus pinetorum,microtuspinetorum,1.55,DM,Prugh_etal_2008,1.55,km,0,CF,COSEWIC_2010,no seasonal movements,NA,5800,CJL,Mace_Harvey_1983,0.58,ha,0.023,Mace_Harvey_1983,sds,4,SDS,Herbivore,Herbivore,EOL,running,land,Hirt_etal,land,,land,3613193,IUCN (estimated extent of occurrence),
Mus musculus,musmusculus,1.5,DM,Jenkins_et_al_2007,1500,m,0.01,CF,Sidorov_2010,estimated based on description of seasonal movement in and out of buildings,meters,800,CJL,Mace_Harvey_1983,0.08,ha,0.014,Mace_Harvey_1983,sds,4,SDS,Omnivore/Herbivore/Carnivore,Omnivore,Animal_Diversity_Web,running,land,Hirt_etal,land,land,land,<20000,IUCN (estimated extent of occurrence),
Castor canadensis,castorcanadensis,40.6,DM,Jenkins_et_al_2007,40600,m,0,CF,Lancia_1982,all winter activity cose to permanent lodge,NA,32374.9,DM,McNab_1963,8,acres,20.25,Jenkins_etal_2007,sds,4,MG,Herbivore/Browser,Herbivore,EOL,,,ADW,land_aquatic,,land_aquatic,23888811,IUCN (estimated extent of occurrence),
Didelphis virginiana,didelphisvirginiana,4.726,DM,Whitmee_Orme_2013,4.726,linear km,0,CF,ADW,constant home range throughout their lifespan,NA,109062.78,DM,McNab_1963,26.95,acres,3.63,McNab_1963,,4,CJL,Omnivore/Carnivore,Omnivore,EOL,,,inferred,land,,land,,,
Glaucomys volans,glaucomysvolans,0.43,DM,Prugh_etal_2008,0.43,km,0,CF,ADW,females defend home range year round,NA,16187.4,DM,McNab_1963,4,acres,0.0645,Tamburello_etal_2015,sds,4,SDS,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,10018108,IUCN (estimated extent of occurrence),
Canis latrans,canislatrans,232,DM,Jenkins_et_al_2007,232200,m,35.8,CF,Gantz_2005,3.58E+01,km,6.19E+06,CJL,Swithart_etal_1988,618.5,ha,14.06,Jenkins_etal_2007,sds,4,PLT,Omnivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,,,
Cynomys ludovicianus,cynomysludovicianus,2.355,DM,Whitmee_Orme_2013,2.355,linear km,0,CF,ADW,year round burrows,NA,13300,CJL,Swithart_etal_1988,1.33,ha,1.1,Swihart_etal_1988,sds,4,PLT,Herbivore/Frugivore/Granivore,Herbivore,EOL,,,inferred,land,,land,2619375,IUCN (estimated extent of occurrence),
Emydoidea blandingii,emydoideablandingii,1.115,DM,Jenkins_et_al_2007,1115,m,1.3,CJL - changed source & value,Congdon_etal_2011,1300,m,33000,DM,Tamburello_etal,33000,m2,1.294,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land_aquatic,land,land_aquatic,,,
Lycaon pictus,lycaonpictus,29.85,DM,Whitmee_Orme_2013,29.85,linear km,0,MG,Creel_1998,gene flow among populations is maintained,,1.75E+09,MG,Gittleman & Harvey (1982),"1,750.00",km2,22,Gittleman_Harvey_1982,sds,4,SDS,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,,land,7529483,IUCN (estimated extent of occurrence),
Aepyceros melampus,aepycerosmelampus,1.2,DM,Whitmee_Orme_2013,1.2,linear km,24.14,MG,Dasmann_Mossman_1962,15.00,miles,9.00E+05,SDS,Murray_1982,90,ha,63.50384,Tamburello_etal_2015,sds,4,CJL,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,land,land,,,
Lontra canadensis,lontracanadensis,200,DM,Prugh_etal_2008,200,km,0,CJL,Eccles_etal_2020,"""non-migratory""",,9.43E+06,CJL,Helon_2006,943.24 = weighted mean of males and females: ((9*802.4)+(8*1101.7))/(9+8),ha,6.225,Prugh_etal_2008,CJL,4,,Carnivore,Carnivore,EOL,,,ADW,land_aquatic_marine,,land_aquatic_marine,,,
Sciurus aberti,sciurusaberti,10.13,DM,Prugh_etal_2008,10.13,km,0,CJL,Farentinos_1979,home range overlaps in breeding and nonbreeding season,,130888.05,DM,Tamburello_etal,130888.05,m2,0.7938,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,956045,IUCN (estimated extent of occurrence),
Meles meles,melesmeles,8.3,DM,Jenkins_et_al_2007,8300,m,0,CJL - changed source,IUCN,"""not a migrant""",,870000,MG,Gittleman and Harvey (1982),0.87,km2,13,Prugh_etal_2008,sds,4,SDS,Omnivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,,land,>20000,IUCN (estimated extent of occurrence),
Larus delawarensis,larusdelawarensis,700,DM,Jenkins_et_al_2007,700000,m,1563,MG,Gabrey_1996,1.56E+03,km,1.50E+08,SDS value was 1.5E8,Clark_etal_2016,20,km,0.57,Jenkins_etal_2007,sds,4,SDS,Omnivore/Carnivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,8890000,IUCN (estimated extent of occurrence),
Mustela frenata,mustelafrenata,23.51,DM,Prugh_etal_2008,23.51,km,0,CJL - changed source,Gonzales_1997,"""permanent resident""",,1112900,CJL,Harestad and Bunnel 1979,111.29,ha,0.165,Harestad_ Bunnel_1979,sds,4,SDS,Omnivore/Carnivore,Omnivore,EOL,,,inferred,land,,land,,,
Macropus rufogriseus,macropusrufogriseus,0.67,DM,Whitmee_Orme_2013,670,linear m,0,MG,Green_etal_2014,non-migratory,,163000.9,DM,tamburello_etal,163000.9,m2,16.85,Tamburello_etal_2015,yes,4,SDS,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,,,
Varanus varius,varanusvarius,1.8,DM,Jenkins_et_al_2007,1800,m,0,CJL,Guarino_2002,home ranges overlap from season to season,,558000,DM,Perry_Garland_2002,557600,m2,0.5651,Perry_Garland_2002,yes,4,SDS,Carnivore,Carnivore,Perry_Garland_2002,running,land,Hirt_etal,land,,land,,,
Scalopus aquaticus,scalopusaquaticus,6.05,DM,Prugh_etal_2008,6.05,km,0,DM,Harvey_1976,,,7428.65,DM,Tamburello_etal,7428.65,m2,0.1035,Tamburello_etal_2015,yes,4,SDS,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,5845044,IUCN (estimated extent of occurrence),
Urile pelagicus,urilepelagicus,150,CJL,Jenkins_et_al_2007,150000,m,920,MG,Hatch_et_al_2001,,,3.14E+08,MG,Hatch_et_al_2001,10,km,1.562,Hatch_et_al_2001,sds,4,MG,Carnivore/aquatic predator,Carnivore,Pigot_etal_2020,,,Hatch_2001,air,air,air_marine,22200000,IUCN (estimated extent of occurrence),
Apus apus,apusapus,111,DM,Jenkins_et_al_2007,111000,m,12000,CJL,Hein_Gillooly_2011,12000,km,9.33E+09,"MG - value as 54500, changed to m but not to m2",ADW,48-61,km,0.04,Akesson_etal_2012,sds,4,PT,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,13300000,IUCN (estimated extent of occurrence),
Lemmus lemmus,lemmuslemmus,20,CF- changed value,Ehrich_Stenseth_2001,3,km - the 3km value was for the max distance moved in one day in a radio tracking study. This dispersal distance is estimated from fst,32,CJL,Hein_Gillooly_2011,32,km,8560,CJL - value was 6810 (one of the four groups),Banks_etal_1975,weighted average ((12*1.33)+(6*.681)+(13*0.876)+(11*0.413))/(12+6+13+11) of four groups,ha,0.1,Hein_etal_2012,sds,4,,Herbivore,Herbivore,EOL,,,inferred,land,land,land,1336282,IUCN (estimated extent of occurrence),
Bucephala clangula,bucephalaclangula,6,DM,Jenkins_et_al_2007,6000,m,3000,CJL,Hein_Gillooly_2011,3000,km,110000,SDS,Bowman_2003,11,ha,0.92,Hein_etal_2012,sds,4,MG,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,ADW_small home ranges in water,air,air,aquatic,46900000,IUCN (estimated extent of occurrence),
Ficedula hypoleuca,ficedulahypoleuca,56,DM,Jenkins_et_al_2007,56000,m,7000,CJL,Hein_Gillooly_2011,7000,km,14000,SDS,Bowman_2003,1.4,ha,0.016,Hein_etal_2012,sds,4,,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,5580000,IUCN (estimated extent of occurrence),
Acinonyx jubatus,acinonyxjubatus,20,CJL,Santini_2013,20,km (max),40,CJL,Hein_Gillooly_2011,40,km,1.61E+08,MG,Broomhall_etal_2003,161,km2,50,Tamburello_etal_2015,sds,4,,Carnivore,Carnivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,land,land,18760352.38,IUCN (estimated extent of occurrence),
Phylloscopus trochilus,phylloscopustrochilus,20.8,MG,Prugh_etal_2008,20.8,Km,15000,CJL,Hein_Gillooly_2011,15000,km,2800,CF,Calder_1990,0.28,ha,0.0087,Hein_etal_2012,sds,4,SDS,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,flying,air,Hirt_etal,air,air,air,22200000,IUCN (estimated extent of occurrence),
Chroicocephalus ridibundus,chroicocephalusridibundus,189.5,CJL,Jenkins_et_al_2007,189500,m,4000,CJL,Hein_Gillooly_2011,4000,km,1.08E+09,yes,Gorke_Brandl_1986,,,0.28,Hein_etal_2012,sds,4,SDS,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,44500000,IUCN (estimated extent of occurrence),
Larus fuscus,larusfuscus,202,DM,Jenkins_et_al_2007,202000,m,6500,CJL,Hein_Gillooly_2011,6500,km,1.61E+08,"SDS - was 1.13e8, new source",Thaxter_etal_2015,161,km2,0.8,Hein_etal_2012,sds,4,SDS,Carnivore/Aquatic predator,Carnivore,Pigot_etal_2020,,,inferred,air,air,air,153000,IUCN (estimated extent of occurrence),
Connochaetes taurinus,connochaetestaurinus,170,CF,Georgiadis_in_Sinclair_1995,170,km - estimated from map of distance between 2 pops with gene flow,400,CJL,Hein_Gillooly_2011,400,km,20000,CJL,Grant_etal_1992,0.02,km2,140,Hein_etal_2012,sds,4,MG,Herbivore/Folivore,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Sylvia communis,sylviacommunis,52.4,DM,Jenkins_et_al_2007,52400,m,9000,CJL,Hein_Gillooly_2011,9000,km,2000,CJL,Halupka_2002,0.2,ha,0.018,Hein_etal_2012,sds,4,CF,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,23000000,IUCN (estimated extent of occurrence),
Cervus canadensis,cervuscanadensis,18.5,DM,Jenkins_et_al_2007,18500,m,190,CJL,Hein_Gillooly_2011,190,km,12925400,SDS,Harestad_etal_1979,1292.54,ha,270,Hein_etal_2012,sds,4,,Herbivore/Grazer,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Carcharodon carcharias,carcharodoncarcharias,1450,DM,Jenkins_et_al_2007,1445000,m,11000,CJL,Hein_Gillooly_2011,11000,km,7855000,CF,Jewell_et_al_2014,,,550,Hein_etal_2012,yes,4,CJL,Carnivore,Carnivore,EOL,swimming,water,Hirt_etal,marine,marine,marine,,,
Aythya fuligula,aythyafuligula,0.228,CF,Blums_etal_2003,228,m (average dispersal distance in mark recapture study),4500,CJL,Hein_Gillooly_2011,4500,km,380,SDS,Kear_2005,,,0.66,Hein_etal_2012,yes,4,PT,Omnivore/Herbivore aquatic,Omnivore,Pigot_etal_2020,,,Kear_2005,air,air,land_aquatic,34900000,IUCN (estimated extent of occurrence),
Canis lupus,canislupus,886,DM,Jenkins_et_al_2007,886000,m,500,CJL,Hein_Gillooly_2011,500,km,6.25E+07,SDS,Lindstedt et al (1986),6250,ha,37,Hein_etal_2012,yes,4,,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,land,land,>20000,IUCN (estimated extent of occurrence),
Vulpes vulpes,vulpesvulpes,18.1687778,DM - changed source to only Whitmee and Ormee (2012),Whitmee_Orme_2013,,linear km,65,CJL,Hein_Gillooly_2011,65,km,11663333.33,SDS,Lindstedt et al (1986),1116.333,ha,4.1,Gittleman_Harvey_1982,yes,4,MG,Omnivore/Carnivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,>20000,IUCN (estimated extent of occurrence),
Dicrostonyx groenlandicus,dicrostonyxgroenlandicus,20,CF,Ehrich_etal_2001,20,km - distance between farthest apart populations with known movement between,5.4,CJL,Hein_Gillooly_2011,5.4,km,2000,CJL,Mace_Harvey_1983,0.2,ha,0.054,Hein_etal_2012,yes,4,PLT,Herbivore,Herbivore,EOL,,,inferred,land,land,land,8253493,IUCN (estimated extent of occurrence),
Schistocerca gregaria,schistocercagregaria,2300,DM,Jenkins_et_al_2007,2300000,m,5000,CJL,Hein_Gillooly_2011,5000,km,434.78,MG,Maeno_2016,434.78,with an overall mean density of 0.0023 (SE = ±0.0003) individuals/m2,0.002,Hein_etal_2012,yes,4,CF,Herbivore,Herbivore,Raubenheimer_Simpson_2003,,,Kennedy_1951,air,air,land,,,
Sturnus vulgaris,sturnusvulgaris,9.5,MG,Prugh_etal_2008,9.5,Km,1000,CJL,Hein_Gillooly_2011,1000,km,777000,CF changed-this was the value from long one year of a two year study-1087000,Minderman_2010,"2007: 108.7 ± 17.71 ha, 2008: 46.7 ± 6.95 ha",ha,0.082,Hein_etal_2012,yes,4,CF,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,air,air,33200000,IUCN (estimated extent of occurrence),
Crocuta crocuta,crocutacrocuta,10,CF-changed source and value- previosuly no source,Hofer_East_1995,10,"km (average natal dispersal of males. All males disperse, females do not)",80,CJL,Hein_Gillooly_2011,80,km,2.50E+07,MG,Gittleman & Harvey (1982),25,km2,59,Hein_etal_2012,yes,4,,Carnivore,Carnivore,EOL,running,land,Hirt_etal,land,land,land,,,
Equus zebra,equuszebra,120,CF,Olivier_2019,120,km (said to disperse over entire park system so longest length of park system was estimated from map_,100,CJL,Hein_Gillooly_2011,100,km,9.40E+06,MG - value was 9.4e+7,Penzhorn 1982,9.4,km2,240,Hein_etal_2012,yes,4,CJL,Herbivore/Folivore/Grazer,Herbivore,EOL,running,land,Hirt_etal,land,land,land,779598,IUCN (estimated extent of occurrence),
Peromyscus leucopus,peromyscusleucopus,0.184,CJL - changed value,Santini_2013,0.102,km (weighted mean from 3 studies),15,CJL,Hein_Gillooly_2011,15,km,590,MG - value was 4046.86,Wolff_1985,590,m2,0.021,Hein_etal_2012,yes,4,,Omnivore/Herbivore,Omnivore,EOL,running,land,Hirt_etal,land,land,land,10686223,IUCN (estimated extent of occurrence),
Tursiops truncatus,tursiopstruncatus,1000,DM,Jenkins_et_al_2007,1000000,m,1100,CJL,Hein_Gillooly_2011,1100,km,5.13E+07,MG - value was 1.25E+08,Gubbins_2002,51.3,km2,140,Hein_etal_2012,yes,4,,Carnivore/piscivore,Carnivore,EOL,swimming,water,Hirt_etal,marine,marine,marine,,,
Capreolus pygargus,capreoluspygargus,120,MG,Mysterud_1999,120,Km,500,CJL,Hein_Gillooly_2011,500,km,1.00E+06,MG,Pantheria,0.99,km2,40,Hein_etal_2012,yes,4,,Grazer/Browser/Folivore,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
Ovibos moschatus,ovibosmoschatus,5,SDS,Forchhammer_1995,,,320,CJL,Hein_Gillooly_2011,320,km,25500000,SDS,Reynolds_1992,25.5,km2,480,Hein_etal_2012,yes,4,,Herbivore/Grazer/Browser,Herbivore,EOL,running,land,Hirt_etal,land,land,land,,,
