"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius"
"19","Sylvilagus bachmani","sylvilagusbachmani",0.352,"DM","Jenkins_et_al_2007","352","m",0,"SDS","Chapman_1974","","",2800,"CJL","Harestad and Bunnel 1979","0.28","ha",0.695,"Harestad and Bunnel 1979","sds",4,"CF","Herbivore/Browser/Grazer","EOL","","","809968","IUCN (estimated extent of occurrence)",NA,0.0028,0.0298541066072092
"20","Tamias minimus","tamiasminimus",3.02,"DM","Prugh_etal","3.02","km",0,"SDS","Verts_Carraway_2001","","",21000,"CJL","Swithart_etal_1988","2.1","ha",0.045,"Swithart_etal_1988","",4,"CF","Omnivore/Frugivore/Granivore","EOL","running","Hirt_etal","9004167","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626
"21","Blarina brevicauda","blarinabrevicauda",7.71,"DM","Prugh_etal","7.71","km",0,"MG","Buchler_Wasilewski_1985","non-migratory","",3520.765,"DM","McNab_1963","0.87","acres",0.00089,"EOL","",4,"MG","Omnivore/Carnivore","EOL","","","6066474","IUCN (estimated extent of occurrence)",NA,0.003520765,0.0334767726405918
"22","Deirochelys reticularia","deirochelysreticularia",0.192,"DM","Jenkins_et_al_2007","192","m",0.1,"MG","Buhlmann_1995","95","m",23800,"DM","Tamburello_etal","23800","m2",0.588,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0238,0.0870389297451101
"23","Dendragapus obscurus","dendragapusobscurus",11,"DM","Jenkins_et_al_2007","11000","m",4.5,"MG","Cade_Hoffman_1993","Males (median = 10.5 km, range = 1.0-29.4 km) also moved farther than females (median = 1.0 km, range = 0.1-28.0 km),","km",16996.8,"SDS","Schoener_1968","4.2","acres",1.05,"Schoener_1968","",4,"PLT","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","3390000","IUCN (estimated extent of occurrence)",NA,0.0169968,0.0735543980567352
"24","Strix occidentalis","strixoccidentalis",87.4,"DM","Jenkins_et_al_2007","87400","m",31,"MG - value was 50","Laymon_1989","3.10E+01","km",1.4e+07,"DM","makarieva_etal_2005","1400","ha",0.571,"EOL","",4,"CF","Carnivore/Vertivore","Pigot_etal_2020","","","3920000","IUCN (estimated extent of occurrence)",NA,14,2.11100412282238
"25","Chrysemys picta","chrysemyspicta",0.621,"DM","Jenkins_et_al_2007","621","m",0.06,"MG - value was 0.6","Congdon_Gatten_1989","60","m",31500,"DM","Tamburello_etal","31500","m2",0.3545,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0315,0.100133717671868
"26","Ursus arctos","ursusarctos",36.6,"DM","Prugh_etal","36.6","km",0,"CF","Eriksen_2018","spend winter hibernating'",NA,53100000,"MG","Gittleman and Harvey (1982)","53.1","km2",204.12,"Harestad and Bunnel 1979","sds",4,"MG","Omnivore/Herbivore/Carnivore","EOL","running","Hirt_etal","","",NA,53.1,4.11123521053701
"27","Sylvilagus palustris","sylvilaguspalustris",0.56,"DM","Prugh_etal","0.56","km",0,"CF","ADW","year-round home ranges",NA,39600.44,"DM","Tamburello_etal","39600.44","m2",1.34999,"tamburello_etal","yes",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","723439.5","IUCN (estimated extent of occurrence)",NA,0.03960044,0.112272933288607
"28","Vulpes rueppellii","vulpesrueppellii",32,"DM","Whitmee and Ormee 2012","32","linear km",0,"CF","Lindsay_1986","territories maintained throughout the year'",NA,30399749.15,"DM","Tamburello_etal","30399749.15","m2",3.24997,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,30.39974915,3.11071385568526
"29","Hylobates lar","hylobateslar",0.62,"DM","Whitmee and Ormee 2012","620","linear m",0,"CF","Bartlett_2009","year-round home ranges",NA,386666.667,"MG","Galan-Acedo et al. 2019","38.66667","ha",5.64,"Galan-Acedo et al. 2019","",4,"SDS","Omnivore/Frugivore","EOL","","","","",NA,0.386666667,0.350827340388168
"30","Didelphis marsupialis","didelphismarsupialis",4.3,"DM","Prugh_etal","4.3","km",0,"CF","Caceres_2003","breeding season homerange a subset of yearround home range",NA,598800,"CJL","Harestad and Bunnel 1979","59.88","ha",2.724,"Harestad and Bunnel 1979","sds",4,"CJL","Omnivore/Carnivore","EOL","","","","",NA,0.5988,0.436582134136125
"31","Panthera pardus","pantherapardus",9.83,"DM","Whitmee and Ormee 2012","9.83","linear km",0,"CF","Rozhonov_2015","remained in same area over 464  day study",NA,21080000,"CJL - value was 40350000","Kroshko et al. 2016","21.08","km2",52.4,"Gittleman & Harvey (1982)","",4,"CJL","Carnivore","EOL","running","Hirt_etal","","",NA,21.08,2.59036144210693
"32","Panthera tigris","pantheratigris",101.3,"CF- changed value","Singh et al. 2013","124.2","km - changed value to the average for males and females. Origional entry was just males",0,"CF","ADW","year-round home ranges","",69690000,"CJL - value was 42750000","Kroshko et al. 2016","69.69","km2",161,"Gittleman & Harvey (1982)","",4,"CJL","Carnivore","EOL","running","Hirt_etal","1184911","IUCN (estimated extent of occurrence)",NA,69.69,4.70988492090288
"33","Microtus pinetorum","microtuspinetorum",1.55,"DM","Prugh_etal","1.55","km",0,"CF","COSEWIC_2010","no seasonal movements",NA,5800,"CJL","Mace_Harvey_1983","0.58","ha",0.023,"Mace_Harvey_1983","",4,"SDS","Herbivore","EOL","running","Hirt_etal","3613193","IUCN (estimated extent of occurrence)",NA,0.0058,0.0429673985699156
"34","Mus musculus","musmusculus",1.5,"DM","Jenkins_et_al_2007","1500","m",0.01,"CF","Sidorov_2010","estimated based on description of seasonal movement in and out of buildings","meters",800,"CJL","Mace_Harvey_1983","0.08","ha",0.014,"Mace_Harvey_1983","",4,"SDS","Omnivore/Herbivore/Carnivore","Animal_Diversity_Web","running","Hirt_etal","<20000","IUCN (estimated extent of occurrence)",NA,8e-04,0.0159576912160573
"35","Castor canadensis","castorcanadensis",40.6,"DM","Jenkins_et_al_2007","40600","m",0,"CF","Lancia_1982","all winter activity cose to permanent lodge",NA,32374.9,"DM","McNab_1963","8","acres",0.41517,"EOL","",4,"MG","Herbivore/Browser","EOL","","","23888811","IUCN (estimated extent of occurrence)",NA,0.0323749,0.101514780865703
"36","Didelphis virginiana","didelphisvirginiana",4.726,"DM","Whitmee and Ormee 2012","4.726","linear km",0,"CF","ADW","constant home range throughout their lifespan",NA,109062.78,"DM","McNab_1963","26.95","acres",3.05,"","",4,"CJL","Omnivore/Carnivore","EOL","","","","",NA,0.10906278,0.186321660277832
"37","Glaucomys volans","glaucomysvolans",0.43,"DM","Prugh_etal","0.43","km",0,"CF","ADW","females defend home range year round",NA,16187.4,"DM","McNab_1963","4","acres",0.0645,"Tamburello_etal","sds",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","10018108","IUCN (estimated extent of occurrence)",NA,0.0161874,0.0717816790804694
"38","Canis latrans","canislatrans",232,"DM","Jenkins_et_al_2007","232200","m",35.8,"CF","Gantz_2005","3.58E+01","km",6190000,"CJL","Swithart_etal_1988","618.5","ha",11.9891,"EOL","",4,"PLT","Omnivore/Carnivore","EOL","running","Hirt_etal","","",NA,6.19,1.40368735674211
"39","Cynomys ludovicianus","cynomysludovicianus",2.355,"DM","Whitmee and Ormee 2012","2.355","linear km",0,"CF","ADW","year round burrows",NA,13300,"CJL","Swithart_etal_1988","1.33","ha",0.958,"EOL","",4,"PLT","Herbivore/Frugivore/Granivore","EOL","","","2619375","IUCN (estimated extent of occurrence)",NA,0.0133,0.0650655168752575
"40","Emydoidea blandingii","emydoideablandingii",1.115,"DM","Jenkins_et_al_2007","1115","m",1.3,"CJL - changed source & value","Congdon_etal_2011","1300","m",33000,"DM","Tamburello_etal","33000","m2",1.294,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.033,0.102490127544389
"41","Lycaon pictus","lycaonpictus",29.85,"DM","Whitmee and Ormee 2012","29.85","linear km",0,"MG","Creel_1998","gene flow among populations is maintained","",1.75e+09,"MG","Gittleman & Harvey (1982)","1,750.00","km2",27.133,"EOL","",4,"SDS","Carnivore","EOL","running","Hirt_etal","7529483","IUCN (estimated extent of occurrence)",NA,1750,23.6017435970657
"42","Aepyceros melampus","aepycerosmelampus",1.2,"DM","Whitmee and Ormee 2012","1.2","linear km",24.14,"MG","Dasmann_Mossman_1962","15.00","miles",9e+05,"SDS","Murray_1982","90","ha",63.50384,"Tamburello_etal","",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.9,0.535237234845831
"43","Lontra canadensis","lontracanadensis",200,"DM","Prugh_etal","200","km",0,"CJL","Eccles_etal_2020","""non-migratory""","",9430000,"CJL","Helon_2006","943.24 = weighted mean of males and females: ((9*802.4)+(8*1101.7))/(9+8)","ha",6.225,"Prugh_etal","CJL",4,"","","","","","","",NA,9.43,1.73253058464004
"44","Sciurus aberti","sciurusaberti",10.13,"DM","Prugh_etal","10.13","km",0,"CJL","Farentinos_1979","home range overlaps in breeding and nonbreeding season","",130888.05,"DM","Tamburello_etal","130888.05","m2",0.7938,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","956045","IUCN (estimated extent of occurrence)",NA,0.13088805,0.204115066318776
"45","Meles meles","melesmeles",8.3,"DM","Jenkins_et_al_2007","8300","m",0,"CJL - changed source","IUCN","""not a migrant""","",870000,"MG","Gittleman and Harvey (1982)","0.87","km2",13,"Prugh_etal (2008)","",4,"SDS","Omnivore/Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,0.87,0.526241010355424
"46","Larus delawarensis","larusdelawarensis",700,"DM","Jenkins_et_al_2007","700000","m",1563,"MG","Gabrey_1996","1.56E+03","km",1.5e+08,"SDS value was 1.5E8","Clark_etal_2016","20","km",0.5,"EOL","",4,"SDS","Omnivore/Carnivore","Pigot_etal_2020","","","8890000","IUCN (estimated extent of occurrence)",NA,150,6.90988298942671
"47","Mustela frenata","mustelafrenata",23.51,"DM","Prugh_etal","23.51","km",0,"CJL - changed source","Gonzales_1997","""permanent resident""","",1112900,"CJL","Harestad and Bunnel 1979","111.29","ha",0.165,"Harestad and Bunnel 1979","sds",4,"SDS","Omnivore/Carnivore","EOL","","","","",NA,1.1129,0.595186586150881
"48","Macropus rufogriseus","macropusrufogriseus",0.67,"DM","Whitmee and Ormee 2012","670","linear m",0,"MG","Green_etal_2014","non-migratory","",163000.9,"DM","tamburello_etal","163000.9","m2",16.85,"tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.1630009,0.227782347706874
"49","Varanus varius","varanusvarius",1.8,"DM","Jenkins_et_al_2007","1800","m",0,"CJL","Guarino_2002","home ranges overlap from season to season","",558000,"DM","Perry_Garland_2002","557600","m2",0.5651,"Perry_Garland_2002","yes",4,"SDS","Carnivore","Perry_Garland_2002","running","Hirt_etal","","",NA,0.558,0.421446220164038
"50","Scalopus aquaticus","scalopusaquaticus",6.05,"DM","Prugh_etal","6.05","km",0,"DM","Harvey_1976","","",7428.65,"DM","Tamburello_etal","7428.65","m2",0.1035,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","5845044","IUCN (estimated extent of occurrence)",NA,0.00742865,0.0486272838640944
"51","Urile pelagicus","urilepelagicus",150,"CJL","Jenkins_et_al_2007","150000","m",920,"MG","Hatch_et_al_2001","","",3.14e+08,"MG","Hatch_et_al_2001","10","km",2.041,"EOL","",4,"MG","Carnivore/aquatic predator","Pigot_etal_2020","","","22200000","IUCN (estimated extent of occurrence)",NA,314,9.99746489174682
"52","Apus apus","apusapus",111,"DM","Jenkins_et_al_2007","111000","m",12000,"CJL","Hein_Gillooly_2011","12000","km",9.33e+09,"MG - value as 54500, changed to m but not to m2","ADW","48-61","km",0.04,"Akesson_etal_2012","",4,"PT","Carnivore/Invertivore","Pigot_etal_2020","flying","Hirt_etal","13300000","IUCN (estimated extent of occurrence)",NA,9330,54.4961580122376
"53","Lemmus lemmus","lemmuslemmus",20,"CF- changed value","Ehrich&Stenseth_2001","3","km - the 3km value was for the max distance moved in one day in a radio tracking study. This dispersal distance is estimated from fst",32,"CJL","Hein_Gillooly_2011","32","km",8560,"CJL - value was 6810 (one of the four groups)","Banks_etal_1975","weighted average ((12*1.33)+(6*.681)+(13*0.876)+(11*0.413))/(12+6+13+11) of four groups","ha",0.1,"Hein_Gillooly_2011","",4,"","Herbivore","EOL","","","1336282","IUCN (estimated extent of occurrence)",NA,0.00856,0.0521989715007226
"54","Bucephala clangula","bucephalaclangula",6,"DM","Jenkins_et_al_2007","6000","m",3000,"CJL","Hein_Gillooly_2011","3000","km",110000,"SDS","Bowman_2003","11","ha",0.92,"Hein_Gillooly_2011","",4,"MG","Carnivore/Aquatic predator","Pigot_etal_2020","","","46900000","IUCN (estimated extent of occurrence)",NA,0.11,0.187120515925478
"55","Ficedula hypoleuca","ficedulahypoleuca",56,"DM","Jenkins_et_al_2007","56000","m",7000,"CJL","Hein_Gillooly_2011","7000","km",14000,"SDS","Bowman_2003","1.4","ha",0.016,"Hein_Gillooly_2011","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","5580000","IUCN (estimated extent of occurrence)",NA,0.014,0.0667558117812455
"56","Acinonyx jubatus","acinonyxjubatus",20,"CJL","Santini_2013","20","km (max)",40,"CJL","Hein_Gillooly_2011","40","km",1.61e+08,"MG","Broomhall_etal_2003","161","km2",50,"Tamburello_etal","sds",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","18760352.38","IUCN (estimated extent of occurrence)",NA,161,7.15876327835963
"57","Phylloscopus trochilus","phylloscopustrochilus",20.8,"MG","Prugh_etal","20.8","Km",15000,"CJL","Hein_Gillooly_2011","15000","km",2800,"CF","Calder_1990","0.28","ha",0.0087,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying","Hirt_etal","22200000","IUCN (estimated extent of occurrence)",NA,0.0028,0.0298541066072092
"58","Chroicocephalus ridibundus","chroicocephalusridibundus",189.5,"CJL","Jenkins_et_al_2007","189500","m",4000,"CJL","Hein_Gillooly_2011","4000","km",1.08e+09,"yes","Gorke_Brandl_1986","","",0.28,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Aquatic predator","Pigot_etal_2020","","","44500000","IUCN (estimated extent of occurrence)",NA,1080,18.5411616971131
"59","Larus fuscus","larusfuscus",202,"DM","Jenkins_et_al_2007","202000","m",6500,"CJL","Hein_Gillooly_2011","6500","km",1.61e+08,"SDS - was 1.13e8, new source","Thaxter_etal_2015","161","km2",0.8,"Hein_Gillooly_2011","",4,"SDS","Carnivore/Aquatic predator","Pigot_etal_2020","","","153000","IUCN (estimated extent of occurrence)",NA,161,7.15876327835963
"60","Connochaetes taurinus","connochaetestaurinus",170,"CF","Georgiadis_in_Sinclair_1995","170","km - estimated from map of distance between 2 pops with gene flow",400,"CJL","Hein_Gillooly_2011","400","km",20000,"CJL","Grant_etal_1992","0.02","km2",140,"Hein_Gillooly_2011","",4,"MG","Herbivore/Folivore","EOL","running","Hirt_etal","","",NA,0.02,0.0797884560802865
"61","Sylvia communis","sylviacommunis",52.4,"DM","Jenkins_et_al_2007","52400","m",9000,"CJL","Hein_Gillooly_2011","9000","km",2000,"CJL","Halupka_2002","0.2","ha",0.018,"Hein_Gillooly_2011","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","23000000","IUCN (estimated extent of occurrence)",NA,0.002,0.0252313252202016
"62","Cervus canadensis","cervuscanadensis",18.5,"DM","Jenkins_et_al_2007","18500","m",190,"CJL","Hein_Gillooly_2011","190","km",12925400,"SDS","Harestad_etal_1979","1292.54","ha",270,"Hein_Gillooly_2011","",4,"","Herbivore/Grazer","EOL","running","Hirt_etal","","",NA,12.9254,2.02836944437644
"63","Carcharodon carcharias","carcharodoncarcharias",1450,"DM","Jenkins_et_al_2007","1445000","m",11000,"CJL","Hein_Gillooly_2011","11000","km",7855000,"CF","Jewell_et_al_2014","","",550,"Hein_Gillooly_2011","yes",4,"CJL","Carnivore","EOL","swimming","Hirt_etal","","",NA,7.855,1.58124133388097
"64","Aythya fuligula","aythyafuligula",0.228,"CF","Blums et al. 2003","228","m (average dispersal distance in mark recapture study)",4500,"CJL","Hein_Gillooly_2011","4500","km",380,"SDS","Kear_2005","","",0.66,"Hein_Gillooly_2011","",4,"PT","Omnivore/Herbivore aquatic","Pigot_etal_2020","","","34900000","IUCN (estimated extent of occurrence)",NA,0.00038,0.0109980796846468
"65","Canis lupus","canislupus",886,"DM","Jenkins_et_al_2007","886000","m",500,"CJL","Hein_Gillooly_2011","500","km",62500000,"SDS","Lindstedt et al (1986)","6250","ha",37,"Hein_Gillooly_2011","",4,"","Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,62.5,4.46031029038193
"66","Vulpes vulpes","vulpesvulpes",18.1687778,"DM - changed source to only Whitmee and Ormee (2012)","Ables (1965), Allen and Sargent (1993); Whitmee and Ormee (2012)","","linear km",65,"CJL","Hein_Gillooly_2011","65","km",11663333.33,"SDS","Lindstedt et al (1986)","1116.333","ha",4.82,"EOL","",4,"MG","Omnivore/Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,11.66333333,1.92679897882366
"67","Dicrostonyx groenlandicus","dicrostonyxgroenlandicus",20,"CF","Ehrich et al. 2001","20","km - distance between farthest apart populations with known movement between",5.4,"CJL","Hein_Gillooly_2011","5.4","km",2000,"CJL","Mace_Harvey_1983","0.2","ha",0.054,"Hein_Gillooly_2011","",4,"PLT","Herbivore","EOL","","","8253493","IUCN (estimated extent of occurrence)",NA,0.002,0.0252313252202016
"68","Schistocerca gregaria","schistocercagregaria",2300,"DM","Jenkins_et_al_2007","2300000","m",5000,"CJL","Hein_Gillooly_2011","5000","km",434.78,"MG","Maeno_2016","434.78","with an overall mean density of 0.0023 (SE = ±0.0003) individuals/m2",0.002,"Hein_Gillooly_2011","",4,"CF","Herbivore","Raubenheimer_Simpson_2003","","","","",NA,0.00043478,0.0117641307505055
"69","Sturnus vulgaris","sturnusvulgaris",9.5,"MG","Prugh_etal","9.5","Km",1000,"CJL","Hein_Gillooly_2011","1000","km",777000,"CF changed-this was the value from long one year of a two year study-1087000","Minderman_2010","2007: 108.7 ± 17.71 ha, 2008: 46.7 ± 6.95 ha","ha",0.082,"Hein_Gillooly_2011","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","33200000","IUCN (estimated extent of occurrence)",NA,0.777,0.497319597004588
"70","Crocuta crocuta","crocutacrocuta",10,"CF-changed source and value- previosuly no source","Hofner_East","10","km (average natal dispersal of males. All males disperse, females do not)",80,"CJL","Hein_Gillooly_2011","80","km",2.5e+07,"MG","Gittleman & Harvey (1982)","25","km2",59,"Hein_Gillooly_2011","",4,"","Carnivore","EOL","running","Hirt_etal","","",NA,25,2.82094791773878
"71","Equus zebra","equuszebra",120,"CF","Olivier_2019","120","km (said to disperse over entire park system so longest length of park system was estimated from map_",100,"CJL","Hein_Gillooly_2011","100","km",9400000,"MG - value was 9.4e+7","Penzhorn 1982","9.4","km2",240,"Hein_Gillooly_2011","",4,"CJL","Herbivore/Folivore/Grazer","EOL","running","Hirt_etal","779598","IUCN (estimated extent of occurrence)",NA,9.4,1.7297725082009
"72","Peromyscus leucopus","peromyscusleucopus",0.184,"CJL - changed value","Santini_2013","0.102","km (weighted mean from 3 studies)",15,"CJL","Hein_Gillooly_2011","15","km",590,"MG - value was 4046.86","Wolff_1985","590","m2",0.021,"Hein_Gillooly_2011","",4,"","Omnivore/Herbivore","EOL","running","Hirt_etal","10686223","IUCN (estimated extent of occurrence)",NA,0.00059,0.0137041173684567
"73","Tursiops truncatus","tursiopstruncatus",1000,"DM","Jenkins_et_al_2007","1000000","m",1100,"CJL","Hein_Gillooly_2011","1100","km",51300000,"MG - value was 1.25E+08","Gubbins_2002","51.3","km2",140,"Hein_Gillooly_2011","",4,"","Carnivore/piscivore","EOL","swimming","Hirt_etal","","",NA,51.3,4.04095250667815
